Sum of Adj Close,Sum of Close,Sum of Column1,Year,Quarter,Month,Day,Sum of High,Sum of Low,Sum of Open,Sum of Volume
1097.643799,1272.775024,0,2015,Qtr 1,January,1,1283.5,1270.5,1283.5,366830
1112.261597,1289.724976,1,2015,Qtr 1,January,2,1295.474976,1275.300049,1275.5,925740
1095.358765,1270.125,2,2015,Qtr 1,January,5,1299.949951,1262.324951,1290.5,1754242
1054.976929,1223.300049,3,2015,Qtr 1,January,6,1264.550049,1220,1264.550049,2423784
1042.515015,1208.849976,4,2015,Qtr 1,January,7,1239.574951,1203.724976,1235,2636332
1053.769409,1221.900024,5,2015,Qtr 1,January,8,1224.5,1210.275024,1221.199951,1565408
1083.306519,1256.150024,6,2015,Qtr 1,January,9,1259.949951,1225,1227.5,3197642
1082.185059,1254.849976,7,2015,Qtr 1,January,12,1264,1240.125,1258.5,1596006
1077.096924,1248.949951,8,2015,Qtr 1,January,13,1265.199951,1240.050049,1260,1468432
1087.467651,1260.974976,9,2015,Qtr 1,January,14,1265.900024,1250.25,1258,1787096
1094.862671,1269.550049,10,2015,Qtr 1,January,15,1290.875,1261.625,1266.5,5009920
1091.865967,1266.074951,11,2015,Qtr 1,January,16,1272.5,1242.150024,1271.849976,5293830
1082.745972,1255.5,12,2015,Qtr 1,January,19,1275.5,1251.5,1268,1135074
1078.197021,1250.224976,13,2015,Qtr 1,January,20,1265,1241.625,1260,2058566
1083.953247,1256.900024,14,2015,Qtr 1,January,21,1261,1244.125,1261,2310480
1083.845703,1256.775024,15,2015,Qtr 1,January,22,1260.625,1247.75,1258.25,2113214
1079.555054,1251.800049,16,2015,Qtr 1,January,23,1266.025024,1248.050049,1257,3150380
1081.045654,1251.025024,17,2015,Qtr 1,January,27,1257.5,1244.775024,1256.175049,2738736
1097.269531,1269.800049,18,2015,Qtr 1,January,28,1272.449951,1251.449951,1251.5,3121980
1099.451782,1272.324951,19,2015,Qtr 1,January,29,1284.349976,1256.449951,1269,3734392
1072.404297,1241.025024,20,2015,Qtr 1,January,30,1287.5,1235,1280.349976,5817402
1086.29541,1257.099976,21,2015,Qtr 1,February,2,1260.724976,1231.025024,1241,3181802
1105.327393,1279.125,22,2015,Qtr 1,February,3,1282.5,1253.550049,1255.824951,2345054
1086.338501,1257.150024,23,2015,Qtr 1,February,4,1285.849976,1251.050049,1284,2245418
1102.800049,1276.199951,24,2015,Qtr 1,February,5,1295.849976,1259.5,1260,4530168
